symbol,size,price,timestamp
PAAS,300,15.915,2019-10-21 15:50:11.821339023
NTRA,100,39.82,2019-10-21 11:27:08.209339215
DKS,100,40.215,2019-10-21 15:46:51.146908809
TEVA,400,8.14,2019-10-21 14:42:36.443470878
SLG,38,80.67,2019-10-21 11:33:33.952447895
HPE,100,16.045,2019-10-21 09:55:47.489521536
CTRP,100,30.305,2019-10-21 11:35:24.917938149
UBER,100,31.645,2019-10-21 12:21:31.454069740
VTEB,1,53.485,2019-10-21 10:46:23.095248891
EEM,100,42.345,2019-10-21 15:58:16.637461014
AMX,1,16.19,2019-10-21 13:58:48.934141978
ATUS,200,29.36,2019-10-21 12:58:07.895824555
CX,100,4.075,2019-10-21 15:58:50.369092115
HAL,100,19.585,2019-10-21 15:27:00.291114793
RIG,1,4.535,2019-10-21 10:48:04.421870174
ANDE,20,17.895,2019-10-21 15:52:49.237524863
PGR,100,69.91,2019-10-21 12:05:19.586132005
PNC,100,145.51,2019-10-21 12:21:45.489108508
QGEN,400,28.185,2019-10-21 15:57:56.007772434
ESTC,65,71.875,2019-10-21 09:33:21.547997662
NVO,100,52.525,2019-10-21 12:21:04.842139038
ETRN,100,14.985,2019-10-21 10:49:11.011624548
RF,100,16.085,2019-10-21 15:59:53.810964668
BAC,100,30.995,2019-10-21 10:14:59.724775551
SVMK,100,17.44,2019-10-21 10:58:09.812966947
WEN,100,21.615,2019-10-21 15:56:37.382352020
PLNT,31,60.05,2019-10-21 14:58:50.049472730
FRO,100,10.625,2019-10-21 09:51:02.185950341
ETFC,100,40.965,2019-10-21 15:19:27.533113669
ACHN,100,6.115,2019-10-21 13:00:22.989659610
HPQ,100,17.055,2019-10-21 15:27:10.610755295
PLMR,12,45.4,2019-10-21 15:42:25.736970065
PFE,100,36.455,2019-10-21 12:54:56.938911950
NFLX,100,276.83,2019-10-21 14:59:48.595427877
KBR,100,25.395,2019-10-21 15:07:06.556084737
BAC,100,30.98,2019-10-21 10:21:03.517699757
KMT,10,29.61,2019-10-21 10:22:06.956750436
INTU,100,262.14,2019-10-21 14:48:05.089011409
PANW,55,211.56,2019-10-21 11:19:19.070417437
UNP,200,165.765,2019-10-21 11:46:27.353240928
NUE,35,52.115,2019-10-21 13:04:09.247948934
GT,1,15.325,2019-10-21 12:31:57.508831430
CSX,100,70.325,2019-10-21 13:34:03.395166949
BBVA,100,5.465,2019-10-21 14:47:07.499575435
PYPL,100,101.09,2019-10-21 09:57:17.789927454
GNC,293,2.075,2019-10-21 12:55:19.055756826
