pl_name,hostname,disc_year,radius,temperature,mass,ra,dec,habitable
Kepler-116 b,Kepler-116,2014,3.42,,,294.7420605,43.5367842,FALSE
Kepler-116 c,Kepler-116,2014,2.3,,,294.7420605,43.5367842,FALSE
Kepler-1160 b,Kepler-1160,2016,2.14,,,287.8793899,43.3640752,FALSE
Kepler-1161 b,Kepler-1161,2016,2.13,,,299.0770621,45.4405583,FALSE
Kepler-1162 b,Kepler-1162,2016,2.21,,,283.2920273,45.4339813,FALSE
Kepler-1163 b,Kepler-1163,2016,1.03,,,290.235863,50.0300654,FALSE
Kepler-1164 b,Kepler-1164,2016,1.12,,,287.5296372,38.8945065,FALSE
Kepler-1165 b,Kepler-1165,2016,1.55,,,286.9712284,44.7082669,FALSE
Kepler-1166 b,Kepler-1166,2016,1.69,,,290.3484956,50.9028387,FALSE
Kepler-1167 b,Kepler-1167,2016,1.71,,,298.3026595,47.6939654,FALSE
Kepler-1168 b,Kepler-1168,2016,2.5,,,287.2977834,47.455488,FALSE
Kepler-1169 b,Kepler-1169,2016,0.94,,,294.9115874,46.4914718,FALSE
Kepler-117 b,Kepler-117,2014,8.059,984,29.875,288.7930651,48.040176,FALSE
Kepler-117 c,Kepler-117,2014,12.341,704,584.78,288.7930651,48.040176,FALSE
Kepler-1170 b,Kepler-1170,2016,2.41,,,292.1685422,43.7795963,FALSE
Kepler-1171 b,Kepler-1171,2016,2.56,,,294.9589285,38.5915968,FALSE
Kepler-1172 b,Kepler-1172,2016,3.2,,,290.4744875,37.7665499,FALSE
Kepler-1173 b,Kepler-1173,2016,0.89,,,293.1311803,45.6634153,FALSE
Kepler-1174 b,Kepler-1174,2016,1.59,,,281.8314296,42.298891,FALSE
Kepler-1175 b,Kepler-1175,2016,2.99,,,289.1426847,46.8129656,FALSE
Kepler-1176 b,Kepler-1176,2016,2.45,,,297.919724,45.2742038,FALSE
Kepler-1177 b,Kepler-1177,2016,1.9,,,286.6714813,49.4062964,FALSE
Kepler-1178 b,Kepler-1178,2016,1.07,,,288.4561183,45.8022258,FALSE
Kepler-1179 b,Kepler-1179,2016,1.32,,,284.0974305,47.8104856,FALSE
Kepler-118 b,Kepler-118,2014,1.96,,,299.2131881,41.4248195,FALSE
Kepler-118 c,Kepler-118,2014,7.68,,,299.2131881,41.4248195,FALSE
Kepler-1180 b,Kepler-1180,2016,1.99,,,295.8874773,43.1559952,FALSE
Kepler-1181 b,Kepler-1181,2016,1.57,,,289.7473165,39.5234131,FALSE
Kepler-1182 b,Kepler-1182,2016,2.41,,,296.3079895,43.8213706,FALSE
Kepler-1183 b,Kepler-1183,2016,2.82,,,292.2324228,38.8921946,FALSE
Kepler-1184 b,Kepler-1184,2016,2.68,,,291.282031,46.9659514,FALSE
Kepler-1185 b,Kepler-1185,2016,1.33,,,287.2411783,39.3326977,FALSE
Kepler-1186 b,Kepler-1186,2016,2.23,,,288.4796333,47.1017438,FALSE
Kepler-1187 b,Kepler-1187,2016,2.61,,,286.8919996,38.3185034,FALSE
Kepler-1188 b,Kepler-1188,2016,2.08,,,283.1038438,43.1480487,FALSE
Kepler-1189 b,Kepler-1189,2016,1.77,,,298.4264116,47.9468194,FALSE
Kepler-119 b,Kepler-119,2014,3.6,,,295.9463854,42.6588324,FALSE
Kepler-119 c,Kepler-119,2014,0.92,,,295.9463854,42.6588324,FALSE
Kepler-1190 b,Kepler-1190,2016,1.33,,,284.9996582,49.4799506,FALSE
Kepler-1191 b,Kepler-1191,2016,1.51,,,291.6577923,48.0092619,FALSE
Kepler-1192 b,Kepler-1192,2016,2.36,,,282.1405603,43.8964934,FALSE
Kepler-1193 b,Kepler-1193,2016,1.32,,,288.1447323,51.2756446,FALSE
Kepler-1194 b,Kepler-1194,2016,1.51,,,291.6994841,38.1452065,FALSE
Kepler-1195 b,Kepler-1195,2016,2.08,,,284.3510523,40.8529319,FALSE
Kepler-1196 b,Kepler-1196,2016,2.23,,,292.369585,43.9108663,FALSE
Kepler-1197 b,Kepler-1197,2016,1.25,,,291.6693437,42.5907441,FALSE
Kepler-1198 b,Kepler-1198,2016,1.47,,,288.8339659,44.838198,FALSE
Kepler-1199 b,Kepler-1199,2016,1.15,,,293.7258092,47.2469219,FALSE
Kepler-12 b,Kepler-12,2011,19.661,1480,137.30256,286.2434458,50.0403671,FALSE
Kepler-120 b,Kepler-120,2014,2.15,,,287.8915707,39.3390979,FALSE
Kepler-120 c,Kepler-120,2014,1.53,,,287.8915707,39.3390979,FALSE
Kepler-1200 b,Kepler-1200,2016,1.06,,,296.6034317,44.1292537,FALSE
Kepler-1201 b,Kepler-1201,2016,2.29,,,294.6147908,40.8331158,FALSE
Kepler-1202 b,Kepler-1202,2016,2.94,,,292.290606,44.6532281,FALSE
Kepler-1203 b,Kepler-1203,2016,1.06,,,292.7734523,44.178088,FALSE
